persona_profile_column,sensitive_id,mean_control,mean_treatment,mean_diff,var_control,var_treatment,n_valid_control,n_valid_treatment,ci_lower,ci_upper,p_value,pi_le,allbus_variable,pi_allbus,bias_le
top-2,sens_13,2.93,3.47,0.54,0.06575757575757578,0.3122222222222223,100,100,0.4184424529586996,0.6615575470413005,5.29382285968478e-15,0.54,mm04,0.433411214953271,0.10658878504672903
top-2,sens_14,2.93,3.44,0.5099999999999998,0.06575757575757578,0.3296969696969697,100,100,0.3856487267379833,0.6343512732620163,2.5500097005657043e-13,0.5099999999999998,mm05,0.4825462012320328,0.027453798767966997
top-2,sens_2,2.93,3.1,0.16999999999999993,0.06575757575757578,0.21212121212121215,100,100,0.06586902129707961,0.27413097870292025,0.001536839589956905,0.16999999999999993,ma02,0.147450110864745,0.022549889135254936
top-2,sens_3,2.93,3.26,0.3299999999999996,0.06575757575757578,0.23474747474747465,100,100,0.22168665632001983,0.43831334367997943,1.2790928057133206e-08,0.3299999999999996,ma03,0.1893392559689061,0.14066074403109352
top-2,sens_4,2.93,3.32,0.3899999999999997,0.06575757575757578,0.36121212121212143,100,100,0.26076211722013476,0.5192378827798646,2.0246250547756677e-08,0.3899999999999997,ma04,0.0727524204702628,0.31724757952973687
top-2,sens_5,2.93,3.11,0.17999999999999972,0.06575757575757578,0.17969696969696972,100,100,0.0821699879049191,0.27783001209508035,0.00037480590972892763,0.17999999999999972,mp02,0.3583541840422574,-0.17835418404225767
top-2,sens_6,2.93,3.43,0.5,0.06575757575757578,0.48999999999999994,100,100,0.35245914834977565,0.6475408516502243,6.133349197051002e-10,0.5,ca13,0.1095813430738971,0.3904186569261029
top-2,sens_7,2.93,4.03,1.1,0.06575757575757578,0.33242424242424246,100,100,0.9752183228301493,1.224781677169851,1.492700605651108e-36,1.1,ca08,0.9841004184100418,0.11589958158995828
top-2,sens_8,2.93,3.42,0.48999999999999977,0.06575757575757578,0.3268686868686869,100,100,0.36609664201288833,0.6139033579871112,1.2543263837152023e-12,0.48999999999999977,fr10,0.1564853556485355,0.3335146443514643
top-2,sens_9,2.93,3.23,0.2999999999999998,0.06575757575757578,0.2394949494949495,100,100,0.19082924488812525,0.4091707551118744,2.2306383245692638e-07,0.2999999999999998,fr04b,0.1813355685945795,0.11866443140542032
top-4,sens_1,2.92,3.37,0.4500000000000002,0.07434343434343434,0.33646464646464636,100,100,0.3232876964452138,0.5767123035547865,8.607353708450104e-11,0.4500000000000002,ma01b,0.672370963290091,-0.22237096329009087
top-4,sens_10,2.92,3.5,0.5800000000000001,0.07434343434343434,0.31313131313131315,100,100,0.4569595753920749,0.7030404246079253,1.9356292916184917e-16,0.5800000000000001,fr03b,0.3317442512619181,0.24825574873808198
top-4,sens_11,2.92,3.21,0.29000000000000004,0.07434343434343434,0.24838383838383837,100,100,0.17777078920461176,0.4022292107953883,9.679429430717705e-07,0.29000000000000004,pi08,0.0969489592244083,0.19305104077559174
top-4,sens_12,2.92,3.31,0.3900000000000001,0.07434343434343434,0.25646464646464645,100,100,0.27636583077488874,0.5036341692251115,2.4889827537627413e-10,0.3900000000000001,mm03,0.4464130119082196,-0.05641301190821946
top-4,sens_13,2.92,3.41,0.4900000000000002,0.07434343434343434,0.3857575757575758,100,100,0.35585873443517896,0.6241412655648215,3.282997213821429e-11,0.4900000000000002,mm04,0.433411214953271,0.056588785046729206
top-4,sens_14,2.92,3.57,0.6499999999999999,0.07434343434343434,0.3485858585858585,100,100,0.5214213369473013,0.7785786630526985,4.547683449704497e-18,0.6499999999999999,mm05,0.4825462012320328,0.16745379876796712
top-4,sens_2,2.92,3.19,0.27,0.07434343434343434,0.25646464646464656,100,100,0.15636583077488858,0.38363416922511145,5.927308860763486e-06,0.27,ma02,0.147450110864745,0.12254988913525502
top-4,sens_3,2.92,3.34,0.41999999999999993,0.07434343434343434,0.28727272727272724,100,100,0.3011603025310699,0.53883969746893,9.191828839322376e-11,0.41999999999999993,ma03,0.1893392559689061,0.23066074403109382
top-4,sens_4,2.92,3.3,0.3799999999999999,0.07434343434343434,0.3131313131313131,100,100,0.2569595753920747,0.5030404246079251,9.133975945196844e-09,0.3799999999999999,ma04,0.0727524204702628,0.3072475795297371
top-4,sens_5,2.92,3.07,0.1499999999999999,0.07434343434343434,0.28797979797979795,100,100,0.031043482114662138,0.2689565178853377,0.013814626220988445,0.1499999999999999,mp02,0.3583541840422574,-0.20835418404225747
top-4,sens_6,2.92,3.65,0.73,0.07434343434343434,0.5126262626262627,100,100,0.578396239088486,0.8816037609115139,1.4373677554319533e-16,0.73,ca13,0.1095813430738971,0.6204186569261029
top-4,sens_7,2.92,4.06,1.1399999999999997,0.07434343434343434,0.3195959595959596,100,100,1.0159314502842902,1.2640685497157091,6.230635080022898e-39,1.1399999999999997,ca08,0.9841004184100418,0.15589958158995787
top-4,sens_8,2.92,3.48,0.56,0.07434343434343434,0.3531313131313133,100,100,0.4307283561834552,0.6892716438165449,1.8370303494791714e-14,0.56,fr10,0.1564853556485355,0.40351464435146456
top-4,sens_9,2.92,3.36,0.43999999999999995,0.07434343434343434,0.41454545454545444,100,100,0.3017036108228639,0.578296389177136,4.156365697755829e-09,0.43999999999999995,fr04b,0.1813355685945795,0.25866443140542045
top-8,sens_1,2.92,3.6161616161616164,0.6961616161616164,0.17535353535353534,0.5246340960626674,100,99,0.5302793384081773,0.8620438939150555,4.8327857346933953e-14,0.6961616161616164,ma01b,0.672370963290091,0.023790652871525375
top-8,sens_10,2.92,3.65,0.73,0.17535353535353534,0.5126262626262627,100,100,0.5661898271787961,0.8938101728212039,2.1147378683053147e-15,0.73,fr03b,0.3317442512619181,0.3982557487380819
top-8,sens_11,2.92,3.41,0.4900000000000002,0.17535353535353534,0.4463636363636364,100,100,0.33432642048632377,0.6456735795136767,3.9949213704201e-09,0.4900000000000002,pi08,0.0969489592244083,0.39305104077559194
top-8,sens_12,2.92,3.42,0.5,0.17535353535353534,0.5692929292929292,100,100,0.3295355407244781,0.6704644592755219,3.725190289932573e-08,0.5,mm03,0.4464130119082196,0.05358698809178042
top-8,sens_13,2.92,3.4545454545454546,0.5345454545454547,0.17535353535353534,0.5769944341372912,100,99,0.3625170784414201,0.7065738306494892,6.895832412670186e-09,0.5345454545454547,mm04,0.433411214953271,0.10113423959218365
top-8,sens_14,2.92,3.696969696969697,0.7769696969696969,0.17535353535353534,0.5807050092764379,100,99,0.6045139909115249,0.9494254030278688,1.5549203324128859e-15,0.7769696969696969,mm05,0.4825462012320328,0.2944234957376641
top-8,sens_2,2.92,3.43,0.5100000000000002,0.17535353535353534,0.3687878787878787,100,100,0.36441915037632455,0.6555808496236759,8.393241063060301e-11,0.5100000000000002,ma02,0.147450110864745,0.3625498891352552
top-8,sens_3,2.92,3.41,0.4900000000000002,0.17535353535353534,0.4463636363636364,100,100,0.33432642048632377,0.6456735795136767,3.9949213704201e-09,0.4900000000000002,ma03,0.1893392559689061,0.3006607440310941
top-8,sens_4,2.92,3.282828282828283,0.36282828282828294,0.17535353535353534,0.7355184498041641,100,99,0.17339314375189424,0.5522634219046716,0.000225082576354356,0.36282828282828294,ma04,0.0727524204702628,0.29007586235802013
top-8,sens_5,2.92,3.13,0.20999999999999996,0.17535353535353534,0.6192929292929291,100,100,0.03387054744156465,0.3861294525584353,0.019770441550239874,0.20999999999999996,mp02,0.3583541840422574,-0.14835418404225742
top-8,sens_6,2.92,3.783505154639175,0.8635051546391752,0.17535353535353534,0.6713917525773194,100,97,0.6793841927564139,1.0476261165219365,2.74330842002411e-16,0.8635051546391752,ca13,0.1095813430738971,0.7539238115652781
top-8,sens_7,2.92,4.09,1.17,0.17535353535353534,0.30494949494949486,100,100,1.0332702913886498,1.30672970861135,2.817464978179354e-39,1.17,ca08,0.9841004184100418,0.18589958158995812
top-8,sens_8,2.92,3.6122448979591835,0.6922448979591835,0.17535353535353534,0.4460340837365873,100,98,0.5354493882518667,0.8490404076665004,3.153460330030589e-15,0.6922448979591835,fr10,0.1564853556485355,0.535759542310648
top-8,sens_9,2.92,3.37,0.4500000000000002,0.17535353535353534,0.47787878787878796,100,100,0.2904055699107655,0.6095944300892349,1.0420970843910186e-07,0.4500000000000002,fr04b,0.1813355685945795,0.2686644314054207
